"distance","spectrumID","i"
1183.47084639374,"spec-1353-53083-0579.fits",519
1385.14981117102,"spec-5324-55947-0886.fits",828
1562.80112830533,"spec-5328-55982-0218.fits",906
2033.59387478465,"spec-6064-56097-0818.fits",1327
2038.79522864377,"spec-5972-56334-0558.fits",85
2046.94653452678,"spec-4176-55682-0865.fits",1965
2052.60088878024,"spec-7395-57131-0208.fits",1142
2078.28957399977,"spec-5793-56337-0530.fits",752
2096.25831642398,"spec-6620-56368-0501.fits",1611
2098.84479997436,"spec-4242-55476-0780.fits",1371
2102.52421204062,"spec-5454-56015-0641.fits",947
2106.46431056668,"spec-7424-57160-0977.fits",2169
2119.19596878247,"spec-5047-55833-0214.fits",627
2125.97626259538,"spec-1311-52765-0413.fits",227
2127.47819323571,"spec-1437-53046-0166.fits",1629
2131.741234616,"spec-2188-54595-0112.fits",1096
2139.29484531217,"spec-4391-55866-0036.fits",206
2156.18188004619,"spec-7257-56658-0239.fits",1372
2157.22552352355,"spec-5302-55896-0613.fits",623
2162.08658570479,"spec-1232-52731-0467.fits",215
2168.95173091277,"spec-4058-55358-0634.fits",2048
2171.72386110738,"spec-2356-53786-0499.fits",113
2180.28935870123,"spec-6008-56093-0606.fits",1236
2205.44772718032,"spec-1719-53876-0095.fits",71
2219.56234389634,"spec-2359-53826-0199.fits",383
2221.70909072517,"spec-4494-55569-0447.fits",984
2222.10743763005,"spec-5111-55840-0716.fits",1444
2233.78621703322,"spec-5331-55976-0504.fits",1427
2242.17804671204,"spec-1026-52558-0067.fits",300
2264.08203215642,"spec-2124-53770-0113.fits",167
2268.4022365687,"spec-2161-53878-0604.fits",1266
2276.10305426787,"spec-6145-56266-0755.fits",1827
2283.79052829327,"spec-1382-53115-0469.fits",1127
2304.61332355311,"spec-6447-56362-0485.fits",1814
2317.99582952643,"spec-2634-54110-0244.fits",1084
2322.85413171883,"spec-4611-55603-0878.fits",743
2366.75225606425,"spec-3755-55504-0496.fits",1322
2376.93910691406,"spec-4464-55866-0887.fits",1732
2380.4964633717,"spec-1788-54468-0050.fits",1114
2386.13459903726,"spec-6461-56329-0925.fits",1945
2386.37141472185,"spec-4039-55648-0759.fits",2094
2390.93193694518,"spec-0509-52374-0631.fits",630
2400.21668229247,"spec-1997-53442-0041.fits",455
2402.24942232063,"spec-5015-55707-0294.fits",1395
2407.33806064592,"spec-6406-56330-0456.fits",1373
2409.02287851437,"spec-6512-56567-0742.fits",1334
2417.20348985344,"spec-1959-53440-0382.fits",960
2417.88940270793,"spec-6656-56624-0929.fits",1869
2423.30761391479,"spec-5027-56218-0605.fits",1341
2466.76369020109,"spec-6803-56402-0747.fits",805
2469.6701501202,"spec-1081-52531-0173.fits",1145
2476.40133903268,"spec-2118-53820-0538.fits",561
2477.13338572624,"spec-1105-52937-0368.fits",660
2483.78935426621,"spec-1672-53460-0251.fits",936
2487.73389155429,"spec-1626-53472-0286.fits",1013
2490.01676372879,"spec-7301-56746-0454.fits",766
2504.66319017728,"spec-4347-55830-0615.fits",2073
2549.73533286655,"spec-0314-51641-0211.fits",825
2564.17097449321,"spec-4870-55923-0229.fits",1826
2573.14229480682,"spec-5397-55944-0285.fits",839
2584.21088263745,"spec-6161-56238-0336.fits",1247
2584.39525083138,"spec-0995-52731-0137.fits",1284
2584.76298833605,"spec-1301-52976-0123.fits",862
2588.90305927838,"spec-1054-52516-0291.fits",1121
2592.66229718178,"spec-0991-52707-0359.fits",1246
2596.75761920367,"spec-6465-56279-0857.fits",1841
2602.91050671242,"spec-1229-52723-0306.fits",823
2618.18624713428,"spec-6053-56091-0724.fits",1104
2619.23280813161,"spec-1568-53169-0578.fits",952
2622.79212400147,"spec-6049-56091-0278.fits",962
2627.94240081068,"spec-0632-52071-0263.fits",754
2638.77471110337,"spec-6754-56414-0896.fits",1492
2645.76010124742,"spec-5451-56010-0798.fits",1202
2646.43177030898,"spec-2422-54096-0519.fits",916
2649.07565491851,"spec-0924-52409-0636.fits",658
2649.85336310468,"spec-2382-54169-0116.fits",1098
2657.78305788436,"spec-6439-56358-0432.fits",1356
2670.71067388984,"spec-0390-51900-0010.fits",1537
2672.37522705795,"spec-2557-54178-0009.fits",274
2674.16845172935,"spec-6125-56273-0414.fits",1359
2685.56275868468,"spec-3808-55513-0602.fits",1174
2704.56251810775,"spec-1685-53463-0384.fits",629
2714.95385058303,"spec-5336-55957-0105.fits",1753
2717.37776039105,"spec-6466-56310-0992.fits",1543
2718.89076118152,"spec-2913-54526-0229.fits",983
2737.52660807831,"spec-7089-56661-0076.fits",1350
2828.60087535607,"spec-2620-54339-0453.fits",829
2829.72782014732,"spec-1923-53319-0383.fits",913
2846.38920206602,"spec-1757-53083-0437.fits",1075
2850.46688144024,"spec-4801-55653-0130.fits",1722
2871.09023656197,"spec-2179-53555-0564.fits",935
2895.26876882225,"spec-1728-53228-0337.fits",960
2905.33109870717,"spec-1397-53119-0412.fits",668
2924.20599679807,"spec-2261-53612-0404.fits",902
2944.11217347081,"spec-5301-55987-0190.fits",1401
2990.18748929907,"spec-0935-52643-0464.fits",680
3000.01114221607,"spec-0750-52235-0328.fits",1033
3030.82182838807,"spec-7255-56597-0896.fits",1484
3062.62926785132,"spec-7258-56605-0453.fits",796
3103.91308814654,"spec-7235-56603-0338.fits",1420
